UNKNOWN
version=1
nRows=1501
nColumns=3
inDegrees=no
endheader
time	time	ground_force_vy
    565.00000000	      0.94170000	    595.72238640
    566.00000000	      0.94330000	    595.02462640
    567.00000000	      0.94500000	    594.42268130
    568.00000000	      0.94670000	    593.91889300
    569.00000000	      0.94830000	    593.51466800
    570.00000000	      0.95000000	    593.21044380
    571.00000000	      0.95170000	    593.00586110
    572.00000000	      0.95330000	    592.89979070
    573.00000000	      0.95500000	    592.89050070
    574.00000000	      0.95670000	    592.97578520
    575.00000000	      0.95830000	    593.15310020
    576.00000000	      0.96000000	    593.41963640
    577.00000000	      0.96170000	    593.77239610
    578.00000000	      0.96330000	    594.20822130
    579.00000000	      0.96500000	    594.72376790
    580.00000000	      0.96670000	    595.31556980
    581.00000000	      0.96830000	    595.97995350
    582.00000000	      0.97000000	    596.71296850
    583.00000000	      0.97170000	    597.51032170
    584.00000000	      0.97330000	    598.36723100
    585.00000000	      0.97500000	    599.27834770
    586.00000000	      0.97670000	    600.23766950
    587.00000000	      0.97830000	    601.23854460
    588.00000000	      0.98000000	    602.27360960
    589.00000000	      0.98170000	    603.33487630
    590.00000000	      0.98330000	    604.41379570
    591.00000000	      0.98500000	    605.50134400
    592.00000000	      0.98670000	    606.58825100
    593.00000000	      0.98830000	    607.66521290
    594.00000000	      0.99000000	    608.72315690
    595.00000000	      0.99170000	    609.75354680
    596.00000000	      0.99330000	    610.74868290
    597.00000000	      0.99500000	    611.70189970
    598.00000000	      0.99670000	    612.60787580
    599.00000000	      0.99830000	    613.46278400
    600.00000000	      1.00000000	    614.26443970
    601.00000000	      1.00170000	    615.01243440
    602.00000000	      1.00330000	    615.70808220
    603.00000000	      1.00500000	    616.35438400
    604.00000000	      1.00670000	    616.95583170
    605.00000000	      1.00830000	    617.51822630
    606.00000000	      1.01000000	    618.04832920
    607.00000000	      1.01170000	    618.55360220
    608.00000000	      1.01330000	    619.04184830
    609.00000000	      1.01500000	    619.52084640
    610.00000000	      1.01670000	    619.99803890
    611.00000000	      1.01830000	    620.48015870
    612.00000000	      1.02000000	    620.97298940
    613.00000000	      1.02170000	    621.48107890
    614.00000000	      1.02330000	    622.00764420
    615.00000000	      1.02500000	    622.55445530
    616.00000000	      1.02670000	    623.12181930
    617.00000000	      1.02830000	    623.70861670
    618.00000000	      1.03000000	    624.31239880
    619.00000000	      1.03170000	    624.92950120
    620.00000000	      1.03330000	    625.55523860
    621.00000000	      1.03500000	    626.18417030
    622.00000000	      1.03670000	    626.81029560
    623.00000000	      1.03830000	    627.42739190
    624.00000000	      1.04000000	    628.02918590
    625.00000000	      1.04170000	    628.60959730
    626.00000000	      1.04330000	    629.16299440
    627.00000000	      1.04500000	    629.68435810
    628.00000000	      1.04670000	    630.16951760
    629.00000000	      1.04830000	    630.61530040
    630.00000000	      1.05000000	    631.01970500
    631.00000000	      1.05170000	    631.38192180
    632.00000000	      1.05330000	    631.70249700
    633.00000000	      1.05500000	    631.98330870
    634.00000000	      1.05670000	    632.22760120
    635.00000000	      1.05830000	    632.44002170
    636.00000000	      1.06000000	    632.62651920
    637.00000000	      1.06170000	    632.79430190
    638.00000000	      1.06330000	    632.95165610
    639.00000000	      1.06500000	    633.10780410
    640.00000000	      1.06670000	    633.27267630
    641.00000000	      1.06830000	    633.45671330
    642.00000000	      1.07000000	    633.67061040
    643.00000000	      1.07170000	    633.92500420
    644.00000000	      1.07330000	    634.23019390
    645.00000000	      1.07500000	    634.59580170
    646.00000000	      1.07670000	    635.03047290
    647.00000000	      1.07830000	    635.54161480
    648.00000000	      1.08000000	    636.13519260
    649.00000000	      1.08170000	    636.81551780
    650.00000000	      1.08330000	    637.58516990
    651.00000000	      1.08500000	    638.44490660
    652.00000000	      1.08670000	    639.39365030
    653.00000000	      1.08830000	    640.42864810
